tool_name,handler_path,use_case,risk_score,reads_files,writes_files,executes_shell,handles_creds,destructive,permissive_only
ssh_canary_exec,src/mcp/tool_handlers/ssh_canary_exec.rs,src/domain/use_cases/canary.rs,14,0,1,raw,1,1,1
ssh_pty_exec,src/mcp/tool_handlers/ssh_pty_exec.rs,execute_command,14,0,1,raw,1,1,1
ssh_pty_interact,src/mcp/tool_handlers/ssh_pty_interact.rs,execute_command,14,0,1,raw,1,1,1
ssh_at_jobs,src/mcp/tool_handlers/ssh_at_jobs.rs,src/domain/use_cases/at.rs,13,1,1,builtin,1,1,0
ssh_letsencrypt_status,src/mcp/tool_handlers/ssh_letsencrypt_status.rs,src/domain/use_cases/letsencrypt.rs,13,1,1,builtin,1,1,0
ssh_alert_set,src/mcp/tool_handlers/ssh_alert_set.rs,src/domain/use_cases/alert.rs,12,0,1,builtin,1,1,0
ssh_ansible_adhoc,src/mcp/tool_handlers/ssh_ansible_adhoc.rs,src/domain/use_cases/ansible.rs,12,0,1,builtin,1,1,0
ssh_ansible_playbook,src/mcp/tool_handlers/ssh_ansible_playbook.rs,src/domain/use_cases/ansible.rs,12,0,1,builtin,1,1,0
ssh_apparmor_profiles,src/mcp/tool_handlers/ssh_apparmor_profiles.rs,src/domain/use_cases/apparmor.rs,12,0,1,builtin,1,1,0
ssh_awx_job_cancel,src/mcp/tool_handlers/ssh_awx_job_cancel.rs,src/domain/use_cases/awx.rs,12,0,1,builtin,1,1,0
ssh_awx_job_launch,src/mcp/tool_handlers/ssh_awx_job_launch.rs,src/domain/use_cases/awx.rs,12,0,1,builtin,1,1,0
ssh_awx_project_sync,src/mcp/tool_handlers/ssh_awx_project_sync.rs,src/domain/use_cases/awx.rs,12,0,1,builtin,1,1,0
ssh_backup_snapshot,src/mcp/tool_handlers/ssh_backup_snapshot.rs,src/domain/use_cases/backup.rs,12,0,1,builtin,1,1,0
ssh_compliance_check,src/mcp/tool_handlers/ssh_compliance_check.rs,src/domain/use_cases/compliance.rs,12,0,1,builtin,1,1,0
ssh_cron_add,src/mcp/tool_handlers/ssh_cron_add.rs,src/domain/use_cases/cron.rs,12,0,1,builtin,1,1,0
ssh_cron_remove,src/mcp/tool_handlers/ssh_cron_remove.rs,src/domain/use_cases/cron.rs,12,0,1,builtin,1,1,0
ssh_docker_compose,src/mcp/tool_handlers/ssh_docker_compose.rs,src/domain/use_cases/docker.rs,12,0,1,builtin,1,1,0
ssh_esxi_snapshot,src/mcp/tool_handlers/ssh_esxi_snapshot.rs,src/domain/use_cases/esxi.rs,12,0,1,builtin,1,1,0
ssh_file_chmod,src/mcp/tool_handlers/ssh_file_chmod.rs,src/domain/use_cases/file.rs,12,0,1,builtin,1,1,0
ssh_file_chown,src/mcp/tool_handlers/ssh_file_chown.rs,src/domain/use_cases/file.rs,12,0,1,builtin,1,1,0
ssh_file_patch,src/mcp/tool_handlers/ssh_file_patch.rs,src/domain/use_cases/file.rs,12,0,1,builtin,1,1,0
ssh_file_template,src/mcp/tool_handlers/ssh_file_template.rs,src/domain/use_cases/file.rs,12,0,1,builtin,1,1,0
ssh_firewall_allow,src/mcp/tool_handlers/ssh_firewall_allow.rs,src/domain/use_cases/firewall.rs,12,0,1,builtin,1,1,0
ssh_firewall_deny,src/mcp/tool_handlers/ssh_firewall_deny.rs,src/domain/use_cases/firewall.rs,12,0,1,builtin,1,1,0
ssh_group_add,src/mcp/tool_handlers/ssh_group_add.rs,src/domain/use_cases/group.rs,12,0,1,builtin,1,1,0
